topic,document,Topic_words
14,"D-Link 2750U/IN/I Wireless-N300 ADSL2 Router with Modem (Black) Fast Internet Connection: Latest ADSL2/2+ standard provides internet transmission of up to 24 mbps downstream, 1 Mbps upstream. High-Performance Wireless: Wireless N 150 technology is ideal for high-speed wireless connections and is compatible with 802.11n/g/b wireless devices. Total Security and QoS: Firewall protection, user access control, WPA/WPA2 wireless security and priority queues.For any query please reach out to customer care helpline number:1860 233 3999 Product Specification: DEVICE INTERFACES : RJ-11 ADSL port 4 RJ-45 10/100BASE-TX Ethernet ports with auto MDI/MDIX Built-in 802.11n Wireless Lan Factory reset button WPS button Wireless on/off switch (optional) Power on/off switch WIRELES LAN : 802.11b/g/n standards Wireless speed: up to 54 Mbps (802.11g), 300 Mbps (802.11n)1 Frequency range: 2.4 GHz to 2.484 GHz Antennas: Dual 2x2 built-in MIMO antennas 64/128 bits WEP data encryption WPA/WPA2 (Wi-Fi Protected Access) security MAC address-based access control ADSL STANDARDS: ADSL standards: Multi-mode, ANSI T1.413 Issue 2, ITU G.992.1 (G.dmt) Annex A, ITU G.992.2 (G.lite) Annex A, ITU G.994.1 (G.hs) ADSL2 standards: ITU G.992.3 (G.dmt.bis) Annex A/L/M, ITU G.992.4 (G.lite.bis) Annex A  ADSL2+ standards: ITU G.992.5 Annex A/ ADSL2+ standards: ITU.G.992.5 Annex L/M (optional) ADSL DATA RATES :  G.dmt: 8 Mbps downstream, 832 Kbps upstream G.lite: 1.5 Mbps downstream, 512 Kbps upstream ADSL2: 12 Mbps downstream, 1 Mbps upstream ADSL2+: 24 Mbps downstream, 1 Mbps upstream ATM & PPP PROTOCOLS: ATM Forum UNI3.1/4.0 PVC (up to 8 PVCs) ATM Adaptation Layer Type 5 (AAL5) ATM QoS (Traffic Shaping) Bridged or routed Ethernet encapsulation VC and LLC based multiplexing PPP over Ethernet (PPPoE) PPP over ATM (RFC 2364) ITU-T I.610 OAM F4/F5 ROUTER FEATURES: NAT & NAPT DHCP server/client/relay Static Routing, RIP v.1, v.2 Universal Plug and Play (UPnP) Compliant Dynamic Domain Name System (DDNS) Virtual Server SNTP, DNS proxy, and IGMP proxy Supports IPv6 FIREWALL : Built-in NAT firewall Stateful Packet Inspection (SPI) DoS attacks prevention Packet filtering (IP/ICMP/TCP/UDP) VIRTUAL PRIVATE NETWORK (VPN): Multiple PPTP/IPSec/L2TP pass-through DEVICE CONFIGURATION/MANAGEMENT : Installation Wizard (optional) Web-based GUI for configuration, firmware upgrade Code lock to prevent improper firmware upgrade Telnet Syslog monitoring TR-069 Client (optional) WPS QUALITY OF SERVICE : 802.1p (0 to 7) traffic tagging IGMP Snooping with 32 Multicast groups PVC/VLAN port mapping (bridge mode) SECURITY : IGMP PVC/VLAN port mapping (bridge mode) Parental Control (URL blocking, scheduling) POWER INPUT : Through 1A external power adapter DIAGNOSTIC LEDs : Power LAN (1 to 4) WLAN DSL Internet WPS DIMENSIONS (L X W X H): 162 x 116.8 x 33 mm (6.4 x 4.6 x 1.3 inches) OPERATING TEMPERATURE : 0 to 40 °C (32 to 104 °F) STORAGE TEMPERATURE :(-)20 to 70 °C (-4 to 158 °F) OPERATING HUMIDITY :5% to 95% non-condensing CERTIFICATIONS :  CE FCC","['wireless adapter', 'link wireless', 'network adapter']"
-1,"Imported Charming Blue Bowknot Elastic Rhinestone Lace Bridal Wedding Prom Garter Description: Condition: 100% brand new Exquisite wedding garter decorated with flowers Gorgeous rhinestones, faux pearl and blue bowknot embellishment Size (circumference): Approx. 33-40cm / 13–15.7 inch Width: Approx. 6cm / 2.36 inch Material: Lace + Satin fabrics + Faux pearl + Rhinestone Color: White lace + Blue bowknot Package Includes: 1 x Wedding Garter Note: Since the size above is measured by hand, the size of the actual item you received could be slightly different from the size above. Meanwhile, please be reminded that due to lighting effects, monitor's brightness / contrast settings etc, there could be some slight differences in the color tone of the pictures and the actual item.","['bag', 'bean bag', 'cotton']"
-1,"KJ Bean Bag Original XXXL Sofa Mudda Cover Black (Without Beans) KJ Presenting a premium quality of bean bags range. We are providing original size and original quality. i don,t want to loose customer trust so please you have to compare our products with other quality. some of sellers are cheating with size and quality so please be safe during purchase. KJ Bean Bag is a premium bean bag which is made by good quality materials. this is only bean bag cover without bean.","['bag', 'bean bag', 'cotton']"
-1,"Hy-tec 2000W Pure Copper Immersion Water Heater Rod with Full Water Proof & Shock Proof (Red/Purple) Immersion water heaters are extremely useful and a convenient way for heating water. The Hy-tec immersion heating rod is a must-have product for your home. Thanks to its compact in size, this immersion heater can be easily accommodated in storing places or cabinets. This Hy-tec immersion heater heats water quickly consuming 2000W, thus proving to be energy-efficient. This 2000 watts immersion heater facilitates optimum heat transfer for an enhanced performance. To get hot water, you have to simply dip it in a tub, bucket or container of water and switch on the rod. Since it is made from anti-corrosive plastic material and stainless steel, this electric water heater is durable and will function efficiently for long. This electric immersion heater complies with all standards of safety, thus proving to be safe for use at home and even outdoors.","['bag', 'bean bag', 'cotton']"
-1,"Weavers Villa Women's Shawl (WV552-MAROON_Maroon_L) Accessorize your wardrobe with this beautiful and exclusive woven designer jamdani shawl. This shawl has been carefully woven on a jacquard pattern all over the shawl to give a ""Royal"" and ""Glamorous"" look to the product. The color combination of thread work used adds an elegant look in the shawl. Comfortable and warm to feel cozy in winters. Size: 40 x 80 inches. Wash care: dry clean only. This is an exclusive vintage ""Weavers villa"" shawl - think trendy. Be trendy.","['bag', 'bean bag', 'cotton']"
0,"ALCiS Men's Track Jacket Structured perfectly for health-conscious men, this Black track jacket from Alcis is apt for all types of trainings.It is activated with sweat wicking technology for moisture & made with 100% polyester, it will go well with track pants and running shoes.","['slim fit', 'sweatshirt', 'regular fit']"
14,"Terabyte 500Mbps Mini Wireless USB Adapter (Black) Terabyte gold mini 2.4ghz wireless wifi dongle 500mbps 802.11n usb connector, usb wireless adapter product description highlights, warranty period: 3 years â€¢ usb version:2.0 specifications overview brand sse type usb connector operating system support windows 2000/xp/vista/7/8, mac os, android os product.","['wireless adapter', 'link wireless', 'network adapter']"
12,White Nylon #60 Beading Cord - 300 Feet Cord Basics Nylon Beading Cord 60lb 300'-White,"['aux cable', 'usb charger', 'secro cables']"
0,ADYK Prince Printed Boy's Cotton T- Shirt (Black) This is a Black round neck t-shirt for boys with graphical print of prince.,"['slim fit', 'sweatshirt', 'regular fit']"
3,"Surprise Bookshelf 4Stg Size:Standard                                                                                 |                            Color:Black   Spacious, heavy & durable. Perfect for stacking books, files and other items neatly and comfortably.","['furniture', 'sheesham wood', 'table chair']"
-1,"OMOTON 9H Hardness HD Tempered Glass Screen Protector for iPad Pro 10.5 inch, Compatible with Apple Pencil, 2017 Released Size name:iPad 10.5 tempered glass   OMOTON:  iPad Pro 10.5 Tempered Glass Screen Protector with [Scratch-Resistant] [Premium Crystal Clarity] .  This Glass Screen Protector Fit For iPad Pro 10.5 inch Only. Retina Clarity With an impressive 99.99% transparency and anti-smudge coating, enjoy your iPad's HD display and high-response touch without any interference. Waterproof and oil-proof High-definition clear hydrophobic and oleophobic coating can prevent the water and from scattering. Water and oil can be wiped away very easily.  Sensitive-touch Highly responsive and sensitive touching performance makes your iPad function smoothly and work fast.  Easy installation The glass screen protector can be easily installed without bubble and and removed without residue.  Package Included: 1 x Tempered Glass Screen Protector for iPad Pro 10.5 inch  1 x Accessories Kit. OMOTON, Better than you expect!","['bag', 'bean bag', 'cotton']"
3,"Quality Assure Roland Beige & White 9 Seater Fabric Sofa Set with Four Puffy A sectional sofa is modular. It usually includes at least two pieces that can be arranged in multiple configurations. A sectional sofa often has the option to choose the arm position as either left or right, with two or no arms. The key benefit of a sectional sofa is the ability to tailor its components to a range of spaces. Although sectional sofas were manufactured as early as the Victorian era, they did not become prominent until the mid-1950s, and they continue to be refined to the present day. At its most extreme, the Lava Sofa by Quality Assure Furniture -- a soft, flowing sectional -- can be arranged in any number of ways including crossed, paralleled or stacked. For More Details Kindly Contact Us on :- Qualityassurefurniture@gmail.com.","['furniture', 'sheesham wood', 'table chair']"
13,"Malaysia Airlines Flight 370 About the Author David Soucie is CNN’s safety analyst and was a frequent guest during its coverage of the disappearance of Malaysia Airlines Flight 370. He has thirty years of experience working with the Federal Aviation Administration as an aviation safety inspector and accident investigator, and has worked in the cockpit, on the hangar floor, and within the aviation boardroom. He is the author of Safer Skies, and has fought to obtain congressional approval for international safety program legislation put forth by the FAA.","['dale carnegie', 'creative confidence', 'carnegie']"
0,"United Colour of Benetton Men's Calf Socks Pack of 2 striper calf length sock with fabric: 75% cotton, 23% nylon and 2% lycra.","['slim fit', 'sweatshirt', 'regular fit']"
-1,"Gizga Essentials Laptop Power Cable Cord- 3 Pin Adapter Isi Certified(1 Meter/3.3 Feet) This polarized power cable designed to connect a wall socket and your laptop/notebook power brick. The female connector plugs directly into the device while the male connector plugs into a standard outlet. It ensures overload protection, thanks to its advanced wires. It has an anti-interference feature with better isolation materials and rubberized texture cord. It features ISI marked 100% copper inside-cable. It is compatible with HP, Dell, Lenovo, Sony Vaio, Toshiba, Wipro, LG, ASUS, Samsung, IBM, Acer, Micromax and most other Laptop Adapters/Chargers. It is suitable for many application including standard laptop computer/Video Games/Notebooks/Printers/LCD TFT CRT Monitors/Audio equipment & Amps, and many more electronics using 3-prong power.","['bag', 'bean bag', 'cotton']"
-1,"Fugen Laptop Adapter Charger 65w 19v 3.42a Pin Size 5.5*2.5mm for Lenovo, Toshiba, Asus, HCL, Intex, Fujitsu, Wipro, Medion, NEC Brand Laptops FUGEN Laptop Adapter 19v 3.42a 65w 2.5mm Pin Size Compatible with Different Brand Laptops, act just like original Adapter that came with your laptop in mode of its appearance, size, finishing & most importantly Quality. Each Adapter passes all quality test & standard before leaving the factory. So buy with confidence and do not compare the price with cheaper price and quality Adapter. Its 19v / 3.42a 65w - DC Connector size is 5.5mm*2.5mm Adapter, buy only if you old adpater is/was 65w and have the same specification.","['bag', 'bean bag', 'cotton']"
-1,"Rajasthan Emporium and Handicrafts Jaipur Ace German Silver Bowl, Spoon and Tray Set","['bag', 'bean bag', 'cotton']"
-1,"ECYC Outdoor Waterproof Furniture Cover Garden Patio Sofa Chair Table Protector, 95x63x39 inches Size:A07   Features: 100% Brand new and high quality! Oxford cloth and silver coating, anti ultraviolet, heat dissipation. Nano environmental protection materials, anti aging. Double stitch sewing, solid and beautiful process. Help to prolong the life of your garden furniture. Environment friendly and Easy to use.   Specifications: Type: Furniture Set Cover Material: Oxford Shape: Rectangle Color: Sliver Outside Black Inside Size: Optional  Package included: 1 x Furniture Set Cover  Note: 1. Due to the different monitor and light effect, the actual color of the item might be slightly different from the color showed on the pictures. Thank you! 2. Please allow 1-3 cm measuring deviation due to manual measurement.  If you have any questions,please don't hesitate to contact us directly. We will always strive to put our 100% to resolve your issue and delight our customers. ECYC is a trademark protected by the US Trademark Law. ECYC products are sold by authorized sellers only.","['bag', 'bean bag', 'cotton']"
3,"Aashi Enterprise Cane Art Contemporary Rattan Horse Rocking Chair For Kids Rocking Chair For Kids Is Beautifully Hand Crafted Using Seasoned Cane By Skilled Labors Using Traditional Hand Tools For Beautifying And Enhancing Your Homes, Commercial Spaces, Resorts, Hotels, Etc. - It Is 100 Percent Hand Made With Eco -Friendly Material, Light In Weight . - The Polish Lasts For 2 Or More Years, It Can Be Re-Polished. - As It Is Natural Cane And Hand Crafted Piece, Each Piece Will Have Slight Difference In Shape, Size And Color (Shade), Making Each Product Unique. - Natural Dis-Alignment Or Color Difference In Various Spots Is Possible Depending Upon The Base Natural Color Of The Raw Material Used. - This Product Comes With Cushion Which Is Available In Assorted Colors. - No Assembly Required. - Can Be Used In Multiple Setting Like Living Room, Lawn, Garden, Etc. - Polish Shade May Differ - Durability Upto 10 Years","['furniture', 'sheesham wood', 'table chair']"
9,"Pure Source India Scented Tea Light Candle (Red Rose) Smokeless Candles Made In India (25 pcs Candles) Pure Source India smokeless tea light candle ,Package of 25 Scented Tealight candles in a self-standing aluminum tin. With these quality Tealights you can enjoy the warm glow of a fine candle while enjoying the maximum safety of the tea light candle. If you’re a restaurant, party planner or just enjoy dining to the romantic touch of tealites, these quality long burning will deliver the ultimate and lasting radiation of warmth. made with a special technique to prevent early burn out of your Tea Lights. Tea Lights are an efficient and inexpensive, cost effective form of candle lighting for your ritual and religious ceremonies or any type of celebrations and Holidays. Universal size of ½” tall x 1.5” diameter. Burns nice and clean to the last drop for 2.5 / 3 hours. ""WARNING"" Never leave burning candle unattended. Keep 2 inches between candles. Put candles on fireproof objects only.","['tealights', 'tea light', 'tealight']"
2,"PGT Guide Chemistry Recruitment Examination About the Author An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proof-readers and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content and updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.","['designed exam', 'professionals arihant', 'exam oriented']"
-1,"AJ Dezines kids party wear waistcoat suit set for boys Get a dashing look for your boy by dressing him this party wear clothing suit set from AJ Dezines. Made from cotton blend fabric, this boys suit set can be worn with complete ease and comfort. This boys suit set comes with full sleeve shirt, bow tie, waistcoat and pant. Waistcoat features lapel collar, solid pattern, flap pocket, button detailing in regular fit style and Pant has half elastic on the back side which ensures it fits to the little and delicate waist of your child. These ethnic dress are available in different colors black and red AJ Dezines is a leading Brand in kids wear with wide range of kids clothing which includes kids ethnic wear, accessories and a lot more.","['bag', 'bean bag', 'cotton']"
0,Cherokee by Unlimited Boys' Checkered Regular Fit Shirt Cherokee apparel junior shirt. It is made of 100% cotton dobby fabric with checks pattern.,"['slim fit', 'sweatshirt', 'regular fit']"
10,Usha Maxx Air 400mm Pedestal Fan (White) Motor over heat auto protection. Aerodynamically designed semi- transparent blade. High air delivery. Powerful motor designed for Indian weather conditions. Unique pivot arrangement for uniform oscillation and tilting. Sweep Size: 400mm.,"['led fan', 'table fan', 'cooling fan']"
